trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_Distractor,Fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
65,0,65,0,5,144.16894590000015,144.16894590000015,0.012727600000062012,[0.44814814814814813],[-0.1787037037037037],[1],[0],[0],[1.8602720999999747],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
66,0,66,0,10,146.06270050000012,146.06270050000012,0.022842000000082407,[0.24722222222222223],[0.3888888888888889],[1],[0],[0],[2.21683280000002],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
67,0,67,0,10,148.31258470000012,148.31258470000012,0.024951600000122198,[-0.3638888888888889],[-0.09907407407407408],[1],[0],[0],[2.280001200000015],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
68,0,68,0,5,150.6211767000002,150.6211767000002,0.020114499999863256,[-0.38333333333333336],[0.008333333333333333],[1],[0],[0],[1.4873144000000593],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
69,0,69,0,5,152.12821810000014,152.12821810000014,0.021378499999855194,[0.03888888888888889],[-0.3527777777777778],[1],[0],[0],[2.282799300000079],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
70,0,70,0,5,154.42982610000013,154.42982610000013,0.011982299999999668,[-0.1175925925925926],[0.20185185185185187],[1],[0],[0],[1.779576600000155],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
71,0,71,0,10,156.23574810000014,156.23574810000014,0.022587899999962247,[-0.35833333333333334],[0.23981481481481481],[1],[0],[0],[1.3674793000000136],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
72,0,72,0,5,157.61982320000016,157.61982320000016,0.014559899999994741,[0.3416666666666667],[0.2972222222222222],[1],[0],[0],[1.9263057000000572],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
73,0,73,0,10,159.58136720000016,159.58136720000016,0.02362300000004325,[0.23425925925925925],[-0.46944444444444444],[1],[0],[0],[2.8985626999999567],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
74,0,74,0,5,162.48597560000007,162.48597560000007,0.01344680000011067,[0.18981481481481483],[0.41944444444444445],[1],[0],[0],[2.1104705000000195],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
75,0,75,0,5,164.62101400000006,164.62101400000006,0.014228700000103345,[0.4601851851851852],[0.39351851851851855],[1],[0],[0],[1.8577642000000196],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
76,0,76,0,10,166.50572390000002,166.50572390000002,0.026765699999941717,[-0.2657407407407407],[0.21574074074074073],[1],[0],[0],[2.031152499999962],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
77,0,77,0,10,168.56445270000017,168.56445270000017,0.023031199999877572,[-0.31666666666666665],[-0.262037037037037],[1],[0],[0],[2.367461300000059],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
78,0,78,0,5,170.94253030000004,170.94253030000004,0.011489299999993818,[0.003703703703703704],[0.3351851851851852],[1],[0],[0],[1.6811751000000186],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
79,0,79,0,5,172.638236,172.638236,0.012148100000104023,[-0.024074074074074074],[-0.24351851851851852],[1],[0],[0],[2.1122866999999133],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
80,0,80,0,5,174.76725550000015,174.76725550000015,0.011513100000001941,[0.0824074074074074],[0.4185185185185185],[1],[0],[0],[1.84657059999995],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
81,0,81,0,10,176.65142490000017,176.65142490000017,0.02398870000001807,[0.08333333333333333],[-0.10833333333333334],[1],[0],[0],[1.784064699999817],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
82,0,82,0,10,178.4605852000002,178.4605852000002,0.026522399999976187,[-0.44074074074074077],[0.25925925925925924],[1],[0],[0],[2.148040499999979],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
83,0,83,0,10,180.63566360000004,180.63566360000004,0.024838199999976496,[0.1685185185185185],[0.37407407407407406],[1],[0],[0],[1.9310167000001002],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
84,0,84,0,10,182.5896385000001,182.5896385000001,0.021047200000111843,[0.32314814814814813],[0.046296296296296294],[1],[0],[0],[1.8371406999999635],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
85,0,85,0,10,184.46192259999998,184.46192259999998,0.02240259999985028,[-0.4398148148148148],[0.024074074074074074],[1],[0],[0],[1.7865326999999525],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
86,0,86,0,5,186.26617290000013,186.26617290000013,0.018574599999965358,[0.11296296296296296],[-0.25555555555555554],[1],[0],[0],[2.205864600000041],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
87,0,87,0,5,188.5057984,188.5057984,0.02965259999996306,[-0.3388888888888889],[-0.30648148148148147],[1],[0],[0],[1.5753899000001184],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
88,0,88,0,5,190.11833350000006,190.11833350000006,0.028139499999952022,[0.05648148148148148],[-0.10648148148148148],[1],[0],[0],[2.3743102999999337],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
89,0,89,0,10,192.5233744000002,192.5233744000002,0.02700019999997494,[-0.44537037037037036],[-0.4101851851851852],[1],[0],[0],[1.945525699999962],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
90,0,90,0,5,194.4912247000002,194.4912247000002,0.01563010000018039,[-0.040740740740740744],[-0.4305555555555556],[1],[0],[0],[1.775830600000063],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
91,0,91,0,5,196.3024871,196.3024871,0.028313799999978073,[0.27037037037037037],[0.28055555555555556],[1],[0],[0],[1.4277443999999377],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
92,0,92,0,5,197.76630990000012,197.76630990000012,0.027521600000000035,[0.33240740740740743],[0.14074074074074075],[1],[0],[0],[1.496751500000073],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
